Filename,Total Score,Suggestion,Data science,Programming,Experience,Management skill,Data analytics,Statistics,Machine learning,Data analyst,Software,Web skill,Personal Skill,Accounting,Sales & marketing,Graphic,Content skill,Graphical content,Finance,Health/Medical,Language
Accoount executive.pdf,25,Consider for other roles,0,1,2,3,1,0,0,0,1,1,0,9,6,0,0,0,0,0,1
Accoount executives.pdf,10,Consider for other roles,0,1,1,1,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0
Content creators.pdf,17,Consider for other roles,0,0,2,3,0,0,0,0,0,1,4,1,0,0,6,0,0,0,0
Data Scientist-1.pdf,81,Junior Data Scientist,12,9,5,8,10,5,4,3,5,5,2,2,2,3,1,2,0,0,3
Data Scientist-2.pdf,30,Consider for other roles,8,3,4,2,3,2,2,3,2,0,0,0,0,0,0,0,1,0,0
junior data analyst.pdf,46,Data Analyst,6,7,0,4,6,2,1,5,5,3,2,1,0,0,0,1,0,0,3
junior data analysts.pdf,38,Consider for other roles,4,6,1,5,4,2,1,0,5,3,1,1,1,0,0,1,0,0,3
RESUME.pdf,24,Consider for other roles,1,5,1,2,2,0,2,0,4,2,2,1,0,1,1,0,0,0,0
sales representative.pdf,24,Consider for other roles,0,0,2,5,0,1,0,0,1,1,0,3,9,0,0,0,0,0,2
sales representatives.pdf,0,Consider for other roles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior accountants.pdf,25,Consider for other roles,1,0,2,5,1,1,1,1,0,1,1,2,2,0,0,0,7,0,0
Software Engineer.pdf,38,Software Engineer,1,6,3,4,1,1,1,0,11,3,3,0,1,0,0,0,0,1,2
Software Engineers.pdf,31,Software Engineer,1,6,2,3,1,1,1,0,11,3,0,0,1,0,0,0,0,1,0
web & graphic designer.pdf,24,Consider for other roles,0,0,1,3,0,0,0,0,0,6,4,2,1,4,1,1,0,0,1
web & graphic designers.pdf,25,Consider for other roles,0,0,1,3,0,0,0,0,0,7,4,2,1,4,1,1,0,0,1
